countryCode,etlTable,canonicalName,etlFingerPrint,legalStatus,id
,representative,TELEFONICA SA,"Telefonica, S.A.",Sociedad Anónima,1
,representative,European Atomic Forum,European Atomic Forum,Non profit-making organisation (ASBL),2
,representative,OMNICONSUL - Consultores em Comunicação Lda,OMNICONSUL - Consultores em Comunicação Lda,Empresa por quotas Limitada,3
,representative,Transparency International Liaison Office to the European Union,Transparency International Liaison Office to the European Union,AISBL,4
,representative,EU-CORD,EU-CORD,asbl,5
,representative,Confédération Européenne des Vignerons Indépendants,Confédération Européenne des Vignerons Indépendants,Association,6
,representative,Bundesverband deutscher Wohnungs- und Immobilienunternehmen,Bundesverband deutscher Wohnungs- und Immobilienunternehmen,eingetragener Verein,7
,representative,Federazione Nazionale Commercio Macchine,Federazione Nazionale Commercio Macchine,Associazione senza fini di lucro,8
,representative,Association Française des Entreprises Privées,Association Française des Entreprises Privées,ASBL de droit français,9
,representative,European Booksellers Federation,European Booksellers Federation,aisbl,10
,representative,Cooperativas Agro-alimentarias,Cooperativas Agro-alimentarias,Unión de Cooperativas,11
,representative,Belarus EU Business Council,Belarus EU Business Council,Association International Sans But Lucratif,12
,representative,European Council of Nursing Regulators,European Council of Nursing Regulators,AISBL,13
,representative,L'Europe à la Une,L'Europe à la Une,SARL unipersonnelle,14
,representative,BROMOTION Consultancy,BROMOTION Consultancy,Belgium registered NGO,15
,representative,European Newspaper Publishers' Association,European Newspaper Publishers' Association,AISBL,16
,representative,EU Ukraine Business Council,EU Ukraine Business Council aisbl,Association International Sans But Lucratif,17
,representative,Lietuvos mokslų akademija,Lietuvos mokslų akademija,biudžetinė įstaiga,18
,representative,Association Française de la Gestion financière,Association Française de la Gestion financière,non profit association,19
,representative,Community of European Railway and Infrastructure Companies,Community of European Railway and Infrastructure Companies,AISBL,20
,representative,Edison Spa,Edison Spa,Società per Azioni,21
,representative,Federation of European Publishers,Federation of European Publishers,AISBL,22
,representative,HAL9000-PC LTD.,HAL9000 Limited,UK Registered Company,23
,representative,Deutsche Sozialversicherung Arbeitsgemeinschaft Europa,Deutsche Sozialversicherung Arbeitsgemeinschaft Europa,Eingetragener Verein nach deutschem Recht,24
,representative,European Social Insurance Platform AISBL,European Social Insurance Platform AISBL,association internationale sans but lucratif de droit belge,25
,representative,Bouwend Nederland,Bouwend Nederland,Vereniging,26
,representative,THE ASSOCIATION OF REAL ESTATE FUNDS,The Association of Real Estate Funds,"UK company limited by guarantee, not for profit organisation",27
,representative,Comité Européen de Liaison des Commerces Agricoles et Agro-alimentaires,Comité Européen de Liaison des Commerces Agricoles et Agro-alimentaires,Association International Sans But Lucratif,28
,representative,International Federation of Industrial Energy Consumers,International Federation of Industrial Energy Consumers,International non profit association of a scientific character,29
,representative,Bernardi Eugenio,Bernardi Eugenio,Ditta individuale,30
,representative,Deutscher Verband der Aromenindustrie e. V.,Deutscher Verband der Aromenindustrie e. V.,Verein,31
,representative,Deutscher Verband der Riechstoff-Hersteller e. V.,Deutscher Verband der Riechstoff-Hersteller e. V.,Verein,32
,representative,European Non-Governmental Sports Organisation,European Non-Governmental Sports Organisation,NGO,33
,representative,Vorwerk & Co. KG,Vorwerk & Co. KG,Kommanditgesellschaft (Limited Partnership under German Law),34
,representative,European Association of Directory and Database Publishers,European Association of Directory and Database Publishers,AISBL,35
,representative,AfW - Bundesverband Finanzdienstleistung e.V.,AfW - Bundesverband Finanzdienstleistung e.V.,"gemeinnütziger, eingetragener Verein",36
,representative,European Confederation of Private Employment Agencies,European Confederation of Private Employment Agencies,ASBL under Belgian law (No. 873.890.618),37
,representative,Association Européenne des Institutions Paritaires de la Protection Sociale,Association Européenne des Institutions Paritaires de la Protection Sociale,Aisbl,38
,representative,Deutscher Notarverein,Deutscher Notarverein,Eingetragener Verein,39
,representative,PAPER BY NATURE,PAPER BY NATURE,ASBL,40
,representative,The Association of European Vehicle Logistics (ECG),ECG - The Association of European Vehicle Logistics,non profit organisation/aisbl,41
,representative,Renault,RENAULT,SOCIETE ANONYME,42
,representative,syndicat national de l'industrie des technologies médicales,syndicat national de l'industrie des technologies médicales,syndicat régi par la loi française de 1884,43
,representative,European Network for Accessible Tourism - ENAT asbl,European Network for Accessible Tourism - ENAT asbl,Non Profit Organisation,44
,representative,KEA European Affairs,KEA European Affairs,Sprl,45
,representative,BRITA GmbH,BRITA GmbH,GmbH,46
,representative,Inland Navigation Europe,Inland Navigation Europe,International non-profit organisation,47
,representative,EUROPEAN APPAREL AND TEXTILE CONFEDERATION,EUROPEAN APPAREL AND TEXTILE CONFEDERATION,aisbl,48
,representative,Association of European Radios,Association of European Radios,European Economic Interest Grouping - EEIG,49
,representative,Bundesverband Holz und Kunststoff,Bundesverband Holz und Kunststoff,Bundesinnungsverband,50
,representative,European Aluminium Association (EAA),European Aluminium Association AISBL,Belgian AISBL,51
,representative,Euro Coop - European Community of Consumer Cooperatives,Euro Coop - European Community of Consumer Cooperatives,International non-profit association (aisbl),52
,representative,Productschap Vis,Productschap Vis,publiek,53
,representative,Bundesverband Praktizierender Tierärzte e. V.,Bundesverband Praktizierender Tierärzte e. V.,eingetragener Verein (e. V.),54
,representative,"Bundesverband Informationswirtschaft, Telekommunikation und neue Medien e. V.","Bundesverband Informationswirtschaft, Telekommunikation und neue Medien e. V.",eingetragener Verein,55
,representative,Turkish Business Association - Brussels,Turkish Business Association - Brussels,A.S.B.L,56
,representative,Royal Society of Edinburgh,Royal Society of Edinburgh,Scottish Charity,57
,representative,Arbeitgebervereinigung für Unternehmen aus dem Bereich EDV und Kommunikationstechnologie,Arbeitgebervereinigung für Unternehmen aus dem Bereich EDV und Kommunikationstechnologie,eingetragener Verein,58
,representative,Association des organisations nationales d'entreprises de pêche de l'UE,Association des organisations nationales d'entreprises de pêche de l'UE,association de fait,59
,representative,Verband der Internationalen Kraftfahrzeughersteller e.V.,Verband der Internationalen Kraftfahrzeughersteller e.V.,Eingetragener Verein,60
,representative,UCEE,UCEE,INGO,61
,representative,AIR FRANCE,AIR FRANCE,ENTREPRISE,62
,representative,Chamber of Commerce Belgium-Luxembourg South-Eastern Europe,Chamber of Commerce Belgium-Luxembourg South-Eastern Europe,ASBL,63
,representative,European security Transport Association Aisbl,European security Transport Association Aisbl,AISBL,64
,representative,"CLECAT - European association for forwarding, transport, logistic and Customs services","CLECAT - European association for forwarding, transport, logistic and Customs services",INPA,65
,representative,European Association for the Co-ordination of Consumer Representation in Standardisation,European Association for the Co-ordination of Consumer Representation in Standardisation,AISBL,66
,representative,Electrolux Home Products Corporation,Electrolux Home Products Corporation,Naamloze Vennootschap,67
