numhits,legalStatus,contactCountry
1,"""Association déclarée"", French law of 1/7/1901",BELGIUM
1,(International) Non-governmental Association (under Dutch Law),NETHERLANDS
1,(Platform and Network) NGO,PORTUGAL
1,00070823 DEL 21 DE ABRIL DE 2004,COLOMBIA
1,03748 del 27 de agosto de 1964,COLOMBIA
1,191 Qui institue l'Union européenne et ses partis politiques,BELGIUM
1,465.276.336,BELGIUM
1,501 (c) 3 Non-profit,UNITED STATES
1,501 C6 organisation (US not for profit organisation),UNITED STATES
1,501(c)(3),UNITED STATES
1,501(c)3 non-profit organisation,UNITED STATES
1,"A Body Corporate and Politic, constituted by Royal Charter",UNITED KINGDOM
1,A committee of the International Shipsuppliers & Services Association,UNITED KINGDOM
1,A company limited by guarantee,IRELAND
1,"A company limited by guarantee. Registered in England, No. 1832064",UNITED KINGDOM
1,A division of IFG SCRL,BELGIUM
1,A.E.I.E.,BELGIUM
7,A.I.S.B.L.,BELGIUM
2,A.S.B.L,BELGIUM
5,A.S.B.L.,BELGIUM
1,A.i.s.b.l.,BELGIUM
3,A/S,DENMARK
1,AB,SWEDEN
1,ABSL Belge,BELGIUM
1,ACADEMIC INSTITUTION,SPAIN
1,AG,AUSTRIA
6,AG,GERMANY
1,AGRUPACIÓN DE PRODUCTORES (DEL ART. 64 RTO. CE 479/2008).,SPAIN
1,AISBL,NETHERLANDS
176,AISBL,BELGIUM
1,AISBL,GREECE
1,AISBL,LUXEMBOURG
1,AISBL,CANADA
1,AISBL (Association Internationale Sans But Lucratif),BELGIUM
1,AISBL (Belgium) Registered Charity (UK),UNITED KINGDOM
1,AISBL (International Non-Profit Association),BELGIUM
1,AISBL (International non-profit association in Belgium),BELGIUM
1,AISBL (NGO registered in Belgium),BELGIUM
1,AISBL (association internationale sans but lucratif),BELGIUM
1,AISBL (international association under Belgian law),BELGIUM
1,AISBL (under Belgium Law),BELGIUM
1,AISBL - Assoc. Internationale à but scientifique,BELGIUM
1,AISBL - Association Internationale Sans But Lucratif,BELGIUM
1,AISBL - Association Internationale sans but lucratif,BELGIUM
